,id,colour,vehicle,nums
227,510703,რუხი,TOYOTA PRIUS,7/8
228,510710,შავი,LEXUS RX 400 H,
229,509044,თეთრი,SUBARU FORESTER,
230,509044,რუხი,VOLKSWAGEN CC SPORT,6/8
231,509509,ლურჯი,MERCEDES-BENZ SPRINTER 308 D,5/8
232,510691,მწვანე,MERCEDES-BENZ C 240,5/8
233,510735,ლურჯი,MONDIAL TURKUAZ 100 NT,7/8
234,508876,მწვანე,MERCEDES-BENZ ATEGO 1018,6/8
235,508876,თეთრი,TOYOTA AQUA,
236,509217,რუხი,OPEL ASTRA,5/8
237,509429,შავი,VOLKSWAGEN JETTA 2.0,
238,509342,რუხი,MERCEDES-BENZ CLK 230 KOMPRESSOR,1/8
239,511401,რუხი,MAZDA DEMIO,5/8
240,509348,რუხი,MERCEDES-BENZ E 200,1/8
241,509348,თეთრი,SKODA OCTAVIA,
242,509348,, SKODA OQTAVIA,
243,509431,შავი,MERCEDES-BENZ C 280 4MATIC 3.0 SALOON,
244,509442,თეთრი,FORD TRANSIT,
245,509442,რუხი,MERCEDES-BENZ 230 E,8/8
246,509442,თეთრი,SUBARU IMPREZA,
247,511323,შავი,TOYOTA LANDCRUISER LC150,
248,511420,ლურჯი,MAN M34-14264,5/8
249,512925,რუხი,MITSUBISHI GRANDIS,2/8
250,512925,ლურჯი,NISSAN TERRANO II 2.4 I,8/8
251,512925,თეთრი,OPEL ASTRA,
252,509495,რუხი,MERCEDES-BENZ 190 D,7/8
253,509487,თეთრი,DODGE SPRINTER 3500,
254,509487,თეთრი,NISSAN FUGA,
255,510741,შავი,MERCEDES-BENZ E 500,
256,510762,რუხი,H&W HWTPAS1878,7/8
257,510762,მწვანე,HONDA CR-V 2.0I 16V 4WD,7/8
258,510762,ლურჯი,OPEL VECTRA,7/8
259,510762,თეთრი,SCANIA R440LB6X2MLB,
260,511306,ყვითელი,BOGDAN A 09201,5/8
261,511414,ლურჯი,HONDA FIT,5/8
262,511443,რუხი,OPEL ZAFIRA,1/8
263,509435,შავი,CHRYSLER PT CRUISER,
264,509435,ყავისფერი,MERCEDES-BENZ E 220 CDI,3/8
265,509718,რუხი,TOYOTA VITZ,1/8
266,509482,თეთრი,TOYOTA PRIUS,
267,510829,შავი,OPEL ZAFIRA,
268,512932,რუხი,MERCEDES-BENZ ML 350 4MATIC,3/8
269,509737,რუხი,BMW 318 I,1/8
270,509737,რუხი,MERCEDES-BENZ E 200,1/8
271,509662,თეთრი,MERCEDES-BENZ 230 E,
272,509780,თეთრი,MERCEDES-BENZ V 230,
273,509592,თეთრი,MERCEDES-BENZ SPRINTER 308 D,
274,516192,რუხი,TOYOTA RAV4,1/8
275,509641,რუხი,MERCEDES-BENZ C 180,8/8
276,509641,შავი,VOLKSWAGEN POLO 1.4,
277,509655,შავი,VOLKSWAGEN JETTA 2.0,
278,509864,თეთრი,HONDA FIT,
279,510404,თეთრი,BMW X5 4.8 I,
280,510404,შავი,DODGE DART,
281,510404,რუხი,HONDA FIT,1/8
282,512923,თეთრი,FORD TRANSIT 150 L,
283,512923,ლურჯი,OPEL ASTRA,7/8
284,509653,რუხი,SUZUKI GRAND VITARA,1/8
285,509654,შავი,TOYOTA PRIUS,
286,509654,რუხი,TOYOTA VITZ,4/8
287,509861,შავი,VOLKSWAGEN TOUAREG,
288,509872,მწვანე,FORD MUSTANG,4/8
289,510709,ყვითელი,FORD TRANSIT 430E2.2L,5/8
290,510709,მწვანე,OPEL ZAFIRA,7/8
291,510706,თეთრი,NISSAN NOTE,
292,509650,რუხი,MERCEDES-BENZ E 320 CDI,1/8
293,509650,შავი,YAMAHA YZFR6,
294,509740,ლურჯი,MERCEDES-BENZ C 180,7/8
295,509765,შავი,LAND ROVER FREELANDER,
296,510030,თეთრი,NISSAN LIBERTY,
297,510030,მწვანე,OPEL ASTRA G,8/8
298,510030,ლურჯი,OPEL ASTRA G CARAVAN,8/8
299,510263,რუხი,MERCEDES-BENZ E 230,1/8
300,509853,რუხი,HONDA FIT,1/8
301,509853,ყვითელი,JCB 3CX14M2WM,6/8
302,509919,ყავისფერი,NISSAN TEANA,1/8
303,510261,შავი,MERCEDES-BENZ CLS 500,
304,509837,ლურჯი,OPEL ASTRA,7/8
305,509837,, მოპედი,
306,509914,ლურჯი,BMW 525 I,8/8
307,509914,თეთრი,FORD TRANSIT,
308,509914,შავი,OPEL ASTRA G,
309,509956,რუხი,HONDA FIT,1/8
310,509956,შავი,NISSAN X-TRAIL,
311,509956,ლურჯი,OPEL ASTRA,7/8
312,510085,რუხი,BMW 323 I,1/8
313,510112,თეთრი,MERCEDES-BENZ SPRINTER,
314,510310,ყვითელი,BOGDAN 1445,5/8
315,510299,რუხი,HONDA FIT,3/8
316,509821,ლურჯი,VAZ 21063,7/8
317,509821,რუხი,VOLKSWAGEN PASSAT GLS,7/8
318,509917,რუხი,OPEL VECTRA,1/8
319,510153,შავი,FORD MUSTANG,
320,510153,რუხი,OPEL ASTRA,1/8
321,510269,წითელი,SUBARU FORESTER,7/8
322,510177,,BMW,
323,510333,რუხი,TOYOTA 4-RUNNER,1/8
324,510491,ლურჯი,OPEL VECTRA B,7/8
325,510047,შავი,TOYOTA TACOMA,
326,509963,რუხი,VOLVO S80 2.0,2/8
327,510202,რუხი,MERCEDES-BENZ E 320,1/8
328,510197,ლურჯი,MERCEDES-BENZ C 220 CDI,8/8
329,510469,რუხი,DAF FT 85 430 S,1/8
330,510516,ყავისფერი,NISSAN TIIDA,8/8
331,520705,მწვანე,TOYOTA PRIUS,1/8
332,509966,შავი,MERCEDES-BENZ C 300,
333,510689,ყვითელი,BOGDAN 1445,4/8
334,510234,შავი,MERCEDES-BENZ 200,
335,510447,რუხი,MERCEDES-BENZ E 320,8/8
336,510447,ლურჯი,OPEL COMBO,7/8
337,510531,მწვანე,MERCEDES-BENZ A 170 CDI,8/8
338,510531,თეთრი,TOYOTA PRIUS,
339,512318,ლურჯი,MERCEDES-BENZ E 200,8/8
340,512797,ლურჯი,MERCEDES-BENZ C 180,7/8
341,512797,რუხი,MITSUBISHI PAJERO,4/8
342,510142,რუხი,HONDA FIT,2/8
343,510142,რუხი,HYUNDAI SONATA,1/8
344,510563,ყვითელი,SUBARU FORESTER,1/8
345,510513,მწვანე,MERCEDES-BENZ E 220 CDI,7/8
346,510508,თეთრი,AUDI A4,
347,510508,თეთრი,VAZ 21013,
348,510926,თეთრი,BMW 328 I,
349,510987,თეთრი,MERCEDES-BENZ SPRINTER 311 CDI,
350,510596,მწვანე,LAND ROVER DISCOVERY 3,8/8
351,510596,ლურჯი,NISSAN VERSA,7/8
352,511051,რუხი,OPEL VECTRA B,1/8
353,510830,რუხი,HONDA FIT,1/8
354,510830,თეთრი,RENAULT 440.18 T,
355,512054,შავი,HONDA CR-V,
356,512060,რუხი,MITSUBISHI AIRTREK,1/8
357,512060,რუხი,TOYOTA VITZ,1/8
358,511578,მწვანე,OPEL ASTRA,7/8
359,511222,ლურჯი,OPEL ASTRA,7/8
360,511222,მწვანე,OPEL ASTRA,8/8
361,511222,თეთრი,VAZ 21213,
362,511222,თეთრი,VAZ 21214,
363,511412,ყავისფერი,HYUNDAI ELANTRA,4/8
364,510457,თეთრი,NISSAN ELGRAND,
365,511525,თეთრი,FORD TRANSIT 100 L,
366,514153,მწვანე,TOYOTA LAND CRUISER PRADO,7/8
367,511337,რუხი,OPEL VECTRA,8/8
368,511496,თეთრი,MERCEDES-BENZ SPRINTER 311 CDI,
369,511460,თეთრი,NISSAN TIIDA,
370,511442,რუხი,MITSUBISHI  OUTLANDER  SPORT,5/8
371,511442,მწვანე,OPEL VECTRA B,8/8
372,511191,ლურჯი,KIA SPORTAGE,6/8
373,511191,რუხი,TOYOTA VOXY,1/8
374,510972,თეთრი,TOYOTA PRIUS,
375,511093,თეთრი,DODGE SPRINTER 3500,
376,511093,ლურჯი,FORD TRANSIT,5/8
377,511413,თეთრი,NISSAN TIIDA,
378,511539,თეთრი,FORD TRANSIT,
379,511539,თეთრი,პეჟო,
380,512094,ლურჯი,HONDA FIT,6/8
381,512094,თეთრი,ISUZU TURKUAZ Q BUS,
382,511311,ლურჯი,MAN A21,5/8
383,511320,წითელი,FORD TRANSIT 2.4D,6/8
384,511320,მწვანე,VOLKSWAGEN PASSAT 2.0 KAT,7/8
385,511376,ლურჯი,MERCEDES-BENZ C 200 CDI,7/8
386,511161,რუხი,MITSUBISHI LANCER 1300 GL,1/8
387,515380,შავი,MERCEDES-BENZ C 200 KOMPRESSOR,
388,519388,ლურჯი,OPEL ASTRA 1.7 TDS,6/8
389,511549,რუხი,FIAT BRAVA,4/8
390,511549,შავი,HYUNDAI TERRACAN,
391,512754,რუხი,KIA OPTIMA HYBRID,7/8
392,511505,თეთრი,FORD TRANSIT 80,
393,511419,თეთრი,FORD TRANSIT 350M,
394,511419,რუხი,MERCEDES-BENZ E 270 CDI,6/8
395,511494,შავი,SUBARU FORESTER,
396,512808,ლურჯი,MERCEDES-BENZ C 240,8/8
397,512808,ლურჯი,OPEL ASTRA,7/8
398,511534,წითელი,VOLKSWAGEN PASSAT,4/8
399,512807,ლურჯი,MERCEDES-BENZ C 240,8/8
400,512807,ლურჯი,OPEL ASTRA,7/8
401,512764,რუხი,TOYOTA CAMRY,1/8
402,512764,მწვანე,VOLKSWAGEN GOLF 2.0,7/8
403,511220,შავი,MERCEDES-BENZ E 430,
404,511202,შავი,MERCEDES-BENZ ML 350,
405,511880,მწვანე,MITSUBISHI COLT,1/8
406,515479,რუხი,NISSAN MARCH,1/8
407,511522,ყვითელი,MERCEDES-BENZ 210 D,4/8
408,512259,თეთრი,FORD TRANSIT 100,
409,516375,შავი,MITSUBISHI PAJERO IO,
410,516375,რუხი,OPEL ASTRA G,8/8
411,516375,რუხი,TOYOTA IST,1/8
412,513014,რუხი,HYUNDAI SONATA,4/8
413,513014,ყავისფერი,KIA CERATO,5/8
414,513014,რუხი,MITSUBISHI COLT PLUS,1/8
415,513014,რუხი,TOYOTA PRIUS,6/8
416,511626,რუხი,SUBARU LEGACY B4,4/8
417,511982,თეთრი,GAZ 21,
418,511797,თეთრი,FORD TRANSIT 190 L,
419,511603,ლურჯი,NISSAN MARCH,2/8
420,512395,რუხი,BMW 320 I,1/8
421,512409,თეთრი,TOYOTA AQUA,
422,512387,რუხი,TOYOTA CAMRY,1/8
423,512387,ლურჯი,TOYOTA PRIUS,5/8
424,512028,ყვითელი,ZIL 131,8/8
425,512079,ლურჯი,OPEL ASTRA,7/8
426,512171,თეთრი,FORD TRANSIT,
427,512046,ლურჯი,TOYOTA PRIUS,3/8
428,511731,შავი,BMW 328 I,
